dimension,group,total_bets,win_rate,roi,avg_profit,avg_edge,sample_warning
season,2025,1.0,1.0,0.4099999999999999,0.4099999999999999,0.15694924711457325,LOW SAMPLE
season,2022,18.0,0.8888888888888888,0.11888888888888889,0.11888888888888889,0.151037677905423,LOW SAMPLE
season,2023,9.0,0.7777777777777778,0.038888888888888945,0.038888888888888945,0.1498578037359811,LOW SAMPLE
league,E0,28.0,0.8571428571428571,0.10357142857142858,0.10357142857142858,0.15086956010842917,
referee,J Brooks,1.0,1.0,0.4099999999999999,0.4099999999999999,0.15694924711457325,LOW SAMPLE
referee,P Bankes,1.0,1.0,0.3500000000000001,0.3500000000000001,0.1223439419682828,LOW SAMPLE
referee,C Pawson,2.0,1.0,0.3450000000000001,0.3450000000000001,0.15130396507277338,LOW SAMPLE
referee,D England,1.0,1.0,0.3400000000000001,0.3400000000000001,0.17205794204764913,LOW SAMPLE
referee,M Oliver,5.0,1.0,0.29000000000000004,0.29000000000000004,0.13492762680316617,LOW SAMPLE
referee,S Hooper,1.0,1.0,0.28,0.28,0.10910345129455323,LOW SAMPLE
referee,M Atkinson,2.0,1.0,0.265,0.265,0.1721102738575181,LOW SAMPLE
referee,J Moss,2.0,1.0,0.26,0.26,0.17632416937884277,LOW SAMPLE
referee,K Friend,1.0,1.0,0.26,0.26,0.13845681422852762,LOW SAMPLE
referee,R Jones,2.0,1.0,0.25,0.25,0.16166401268654534,LOW SAMPLE
referee,A Taylor,5.0,0.8,0.010000000000000009,0.010000000000000009,0.14071366450705985,LOW SAMPLE
referee,G Scott,2.0,0.5,-0.375,-0.375,0.13132397324002287,LOW SAMPLE
referee,A Madley,3.0,0.3333333333333333,-0.5766666666666667,-0.5766666666666667,0.18725901378663198,LOW SAMPLE
odds_bucket,1.40-1.50,1.0,1.0,0.4099999999999999,0.4099999999999999,0.15694924711457325,LOW SAMPLE
odds_bucket,1.20-1.30,19.0,0.8947368421052632,0.12736842105263158,0.12736842105263158,0.14883061334695616,LOW SAMPLE
odds_bucket,1.30-1.40,8.0,0.75,0.008750000000000063,0.008750000000000063,0.15495209779115957,LOW SAMPLE
prediction_bucket,<=2.5,28.0,0.8571428571428571,0.10357142857142858,0.10357142857142858,0.15086956010842917,
