Referee,total_bets,win_rate,roi,avg_profit,avg_edge
T Harrington,6.0,0.8333333333333334,0.26166666666666666,0.26166666666666666,0.2070233352952443
M Dean,1.0,1.0,0.24,0.24,0.09392146131287382
J Gillett,16.0,0.875,0.226875,0.226875,0.12579384544086053
T Robinson,6.0,0.8333333333333334,0.21333333333333335,0.21333333333333335,0.133912243315694
C Pawson,26.0,0.8461538461538461,0.16346153846153846,0.16346153846153846,0.1290044083963244
A Marriner,7.0,0.8571428571428571,0.1485714285714286,0.1485714285714286,0.1264997281062386
M Salisbury,15.0,0.7333333333333333,0.04866666666666668,0.04866666666666668,0.14602010918604158
J Moss,6.0,0.8333333333333334,0.04833333333333334,0.04833333333333334,0.14049246474556187
C Kavanagh,23.0,0.7391304347826086,0.04739130434782608,0.04739130434782608,0.12938575359454457
A Taylor,36.0,0.7222222222222222,-0.01805555555555556,-0.01805555555555556,0.12180814588768782
P Bankes,19.0,0.6842105263157895,-0.05421052631578945,-0.05421052631578945,0.13051122670694115
M Atkinson,8.0,0.75,-0.06,-0.06,0.14492731058211267
S Hooper,22.0,0.6818181818181818,-0.08772727272727272,-0.08772727272727272,0.12106773962042496
M Oliver,29.0,0.6551724137931034,-0.09137931034482759,-0.09137931034482759,0.12584683593595875
S Barrott,8.0,0.625,-0.11125000000000007,-0.11125000000000007,0.11429544212621034
S Attwell,17.0,0.6470588235294118,-0.1123529411764706,-0.1123529411764706,0.1298688432124195
P Tierney,19.0,0.631578947368421,-0.14,-0.14,0.11359263801135577
G Scott,8.0,0.625,-0.15375,-0.15375,0.14237786350529863
R Jones,20.0,0.6,-0.186,-0.186,0.12490703963298613
D England,18.0,0.5555555555555556,-0.2088888888888889,-0.2088888888888889,0.15593317022269945
A Madley,27.0,0.5925925925925926,-0.21666666666666673,-0.21666666666666673,0.14576157608696075
D Coote,12.0,0.5833333333333334,-0.2208333333333333,-0.2208333333333333,0.17110062272956136
K Friend,5.0,0.6,-0.244,-0.244,0.106090222683848
J Brooks,15.0,0.5333333333333333,-0.26199999999999996,-0.26199999999999996,0.1599398666242177
T Bramall,4.0,0.5,-0.2725,-0.2725,0.09830390956171778
D Bond,2.0,0.0,-1.0,-1.0,0.07159640616172686
