probability_bucket,count,avg_predicted_prob,actual_over_4_5_rate,calibration_error
0.0-0.1,152,0.06463631,0.2631578947368421,0.19852158231170552
0.1-0.2,237,0.15159692,0.31223628691983124,0.1606393682177057
0.2-0.3,321,0.2502629,0.3302180685358255,0.07995518225004367
0.3-0.4,338,0.35135776,0.35502958579881655,0.003671827753620016
0.4-0.5,285,0.44536826,0.37894736842105264,0.06642089172413473
0.5-0.6,122,0.5442558,0.39344262295081966,0.15081317014381534
0.6-0.7,45,0.64522517,0.4888888888888889,0.15633627838558622
0.7-0.8,26,0.73639935,0.5,0.2363993525505066
0.8-0.9,11,0.84030557,0.36363636363636365,0.4766692031513561
0.9-1.0,0,,,
