Date,Season,Div,HomeTeam,AwayTeam,Referee,confidence,home_cards_last5,away_cards_last5,total_cards_last5,predicted_cards,over_4_5_prob,under_model_prob,under_book_prob,MarketMode,value_edge,signal,Pick,Odds,Stake,total_cards,Result,Profit
2022-02-27,2022,E0,West Ham,Wolves,A Taylor,HIGH CONFIDENCE,1.8,1.2,3.0,2.4296246,0.04346421,0.9565358,0.7685308836395451,Rolling market,0.18800493255308182,STRONG UNDER,UNDER 4.5,1.3,1.0,1,WIN,0.30000000000000004
2022-03-01,2022,E0,Burnley,Leicester,C Kavanagh,HIGH CONFIDENCE,1.0,2.0,3.0,2.86885,0.111017235,0.8889828,0.7712347721202724,Rolling market,0.11774800070687608,STRONG UNDER,UNDER 4.5,1.3,1.0,2,WIN,0.30000000000000004
2022-03-05,2022,E0,Norwich,Brentford,A Taylor,HIGH CONFIDENCE,1.6,1.2,2.8,2.8641398,0.08185363,0.9181464,0.786081943294294,Rolling market,0.13206442854713663,STRONG UNDER,UNDER 4.5,1.27,1.0,7,LOSS,-1.0
2022-03-05,2022,E0,Liverpool,West Ham,J Moss,HIGH CONFIDENCE,0.4,1.2,1.6,1.4228961,0.017312406,0.9826876,0.7813780844155845,Rolling market,0.20130950809082415,STRONG UNDER,UNDER 4.5,1.28,1.0,3,WIN,0.28
2022-03-05,2022,E0,Wolves,Crystal Palace,A Madley,HIGH CONFIDENCE,2.0,1.2,3.2,3.1818197,0.07013804,0.92986196,0.7793338258164852,Rolling market,0.15052813697877232,STRONG UNDER,UNDER 4.5,1.28,1.0,3,WIN,0.28
2022-03-05,2022,E0,Burnley,Chelsea,A Marriner,HIGH CONFIDENCE,0.8,2.0,2.8,3.0599198,0.17018788,0.8298121,0.7764355276907001,Rolling market,0.05337658177966731,STRONG UNDER,UNDER 4.5,1.29,1.0,2,WIN,0.29000000000000004
2022-03-06,2022,E0,Man City,Man United,M Oliver,HIGH CONFIDENCE,0.4,1.8,2.2,2.3742435,0.10085722,0.8991428,0.7816537842190017,Rolling market,0.11748901754262553,STRONG UNDER,UNDER 4.5,1.28,1.0,1,WIN,0.28
2022-03-10,2022,E0,Leeds,Aston Villa,S Hooper,HIGH CONFIDENCE,3.8,3.0,6.8,2.9540648,0.05165326,0.94834673,0.7882982998454405,Rolling market,0.1600484342014955,STRONG UNDER,UNDER 4.5,1.27,1.0,8,LOSS,-1.0
2022-03-10,2022,E0,Southampton,Newcastle,K Friend,HIGH CONFIDENCE,1.2,2.4,3.5999999999999996,2.872762,0.14218704,0.85781294,0.7840620632816139,Rolling market,0.07375087779275746,STRONG UNDER,UNDER 4.5,1.28,1.0,2,WIN,0.28
2022-03-10,2022,E0,Wolves,Watford,D England,HIGH CONFIDENCE,1.6,1.2,2.8,3.2895608,0.10146954,0.8985305,0.7861774712643679,Rolling market,0.11235301198148173,STRONG UNDER,UNDER 4.5,1.27,1.0,4,WIN,0.27
2022-03-12,2022,E0,Brentford,Burnley,P Tierney,HIGH CONFIDENCE,1.6,1.8,3.4000000000000004,2.9845545,0.14929743,0.8507026,0.788247311827957,Rolling market,0.0624552719618684,STRONG UNDER,UNDER 4.5,1.27,1.0,2,WIN,0.27
2022-03-12,2022,E0,Man United,Tottenham,J Moss,HIGH CONFIDENCE,2.2,1.6,3.8000000000000003,2.7811422,0.1384876,0.8615124,0.7922563212523397,Rolling market,0.06925610130930582,STRONG UNDER,UNDER 4.5,1.26,1.0,3,WIN,0.26
2022-03-13,2022,E0,Southampton,Watford,G Scott,HIGH CONFIDENCE,1.0,1.2,2.2,2.0214932,0.087913156,0.91208684,0.7939113101903695,Rolling market,0.11817553425390537,STRONG UNDER,UNDER 4.5,1.26,1.0,5,LOSS,-1.0
