value_edge_gt,predicted_cards_lt,over_4_5_prob_lt,total_bets,win_rate,roi,avg_edge
0.1,3.8,0.4,271,0.7011070110701108,-0.034243542435424344,0.15586165974647015
0.1,3.8,0.35,271,0.7011070110701108,-0.034243542435424344,0.15586165974647015
0.1,3.8,0.3,271,0.7011070110701108,-0.034243542435424344,0.15586165974647015
0.1,3.5,0.4,231,0.7012987012987013,-0.039826839826839815,0.15605413692197362
0.1,3.5,0.35,231,0.7012987012987013,-0.039826839826839815,0.15605413692197362
0.1,3.5,0.3,231,0.7012987012987013,-0.039826839826839815,0.15605413692197362
0.08,3.8,0.4,308,0.698051948051948,-0.039837662337662325,0.14807040254136547
0.08,3.8,0.35,308,0.698051948051948,-0.039837662337662325,0.14807040254136547
0.08,3.8,0.3,308,0.698051948051948,-0.039837662337662325,0.14807040254136547
0.12,3.8,0.4,214,0.6962616822429907,-0.04228971962616821,0.16809895888380297
0.12,3.8,0.35,214,0.6962616822429907,-0.04228971962616821,0.16809895888380297
0.12,3.8,0.3,214,0.6962616822429907,-0.04228971962616821,0.16809895888380297
0.08,3.5,0.4,263,0.6996197718631179,-0.04319391634980988,0.14823322588732682
0.08,3.5,0.35,263,0.6996197718631179,-0.04319391634980988,0.14823322588732682
0.08,3.5,0.3,263,0.6996197718631179,-0.04319391634980988,0.14823322588732682
0.05,3.5,0.4,313,0.6964856230031949,-0.051022364217252404,0.1348624719633233
0.05,3.5,0.35,313,0.6964856230031949,-0.051022364217252404,0.1348624719633233
0.05,3.5,0.3,313,0.6964856230031949,-0.051022364217252404,0.1348624719633233
0.08,3.2,0.4,194,0.7010309278350515,-0.05268041237113401,0.1517104655262842
0.08,3.2,0.35,194,0.7010309278350515,-0.05268041237113401,0.1517104655262842
0.08,3.2,0.3,194,0.7010309278350515,-0.05268041237113401,0.1517104655262842
0.12,3.5,0.4,188,0.6914893617021277,-0.05489361702127659,0.16660729912856134
0.12,3.5,0.35,188,0.6914893617021277,-0.05489361702127659,0.16660729912856134
0.12,3.5,0.3,188,0.6914893617021277,-0.05489361702127659,0.16660729912856134
0.1,3.2,0.4,172,0.6976744186046512,-0.0580813953488372,0.15936049828066828
0.1,3.2,0.35,172,0.6976744186046512,-0.0580813953488372,0.15936049828066828
0.1,3.2,0.3,172,0.6976744186046512,-0.0580813953488372,0.15936049828066828
0.05,3.2,0.4,223,0.6995515695067265,-0.0581165919282511,0.14035013679401612
0.05,3.2,0.35,223,0.6995515695067265,-0.0581165919282511,0.14035013679401612
0.05,3.2,0.3,223,0.6995515695067265,-0.0581165919282511,0.14035013679401612
0.05,3.8,0.3,373,0.6836461126005362,-0.06227882037533511,0.13353334141584708
0.05,3.8,0.4,375,0.6826666666666666,-0.06274666666666666,0.13311289024229164
0.05,3.8,0.35,374,0.6818181818181818,-0.06478609625668448,0.13333051330644957
0.12,3.2,0.4,145,0.6827586206896552,-0.08041379310344826,0.16833897969593162
0.12,3.2,0.35,145,0.6827586206896552,-0.08041379310344826,0.16833897969593162
0.12,3.2,0.3,145,0.6827586206896552,-0.08041379310344826,0.16833897969593162
