Date,HomeTeam,AwayTeam,Team,Player,Position,Starter
2026-05-02,Brentford,West Ham,Brentford,Nathan Collins,CB,TRUE
2026-05-02,Brentford,West Ham,Brentford,Christian Norgaard,DM,TRUE
2026-05-02,Brentford,West Ham,Brentford,Vitaly Janelt,CM,TRUE
2026-05-02,Brentford,West Ham,Brentford,Mads Roerslev,FB,TRUE
2026-05-02,Brentford,West Ham,West Ham,Tomas Soucek,DM,TRUE
2026-05-02,Brentford,West Ham,West Ham,Edson Alvarez,DM,TRUE
2026-05-02,Brentford,West Ham,West Ham,Max Kilman,CB,TRUE
2026-05-02,Brentford,West Ham,West Ham,Aaron Wan-Bissaka,FB,TRUE
2026-05-02,Newcastle,Brighton,Newcastle,Bruno Guimaraes,CM,TRUE
2026-05-02,Newcastle,Brighton,Newcastle,Sandro Tonali,DM,TRUE
2026-05-02,Newcastle,Brighton,Newcastle,Joelinton,CM,TRUE
2026-05-02,Newcastle,Brighton,Newcastle,Dan Burn,CB,TRUE
2026-05-02,Newcastle,Brighton,Newcastle,Lewis Hall,FB,TRUE
2026-05-02,Newcastle,Brighton,Brighton,Carlos Baleba,DM,TRUE
2026-05-02,Newcastle,Brighton,Brighton,Jan Paul van Hecke,CB,TRUE
2026-05-02,Newcastle,Brighton,Brighton,Pervis Estupinan,FB,TRUE
2026-05-02,Newcastle,Brighton,Brighton,Adam Wharton,CM,TRUE
2026-05-02,Wolves,Sunderland,Wolves,Andre,DM,TRUE
2026-05-02,Wolves,Sunderland,Wolves,Joao Gomes,CM,TRUE
2026-05-02,Wolves,Sunderland,Wolves,Mosquera,CB,TRUE
2026-05-02,Wolves,Sunderland,Wolves,Rayan Ait-Nouri,FB,TRUE
2026-05-02,Wolves,Sunderland,Sunderland,Luke O'Nien,CB,TRUE
2026-05-02,Wolves,Sunderland,Sunderland,Dan Neil,CM,TRUE
2026-05-02,Wolves,Sunderland,Sunderland,Trai Hume,FB,TRUE
2026-05-02,Wolves,Sunderland,Sunderland,Chris Rigg,CM,TRUE
