Date,HomeTeam,AwayTeam,Player,Team,Position,RiskScore,RiskTier
2026-05-02,Brentford,West Ham,Edson Alvarez,West Ham,DM,0.44,HIGH
2026-05-02,Brentford,West Ham,Christian Norgaard,Brentford,DM,0.43,HIGH
2026-05-02,Brentford,West Ham,Tomas Soucek,West Ham,DM,0.43,HIGH
2026-05-02,Brentford,West Ham,Nathan Collins,Brentford,CB,0.3,HIGH
2026-05-02,Brentford,West Ham,Mads Roerslev,Brentford,FB,0.28,MEDIUM
2026-05-02,Newcastle,Brighton,Carlos Baleba,Brighton,DM,0.44,HIGH
2026-05-02,Newcastle,Brighton,Sandro Tonali,Newcastle,DM,0.4,HIGH
2026-05-02,Newcastle,Brighton,Bruno Guimaraes,Newcastle,CM,0.31,HIGH
2026-05-02,Newcastle,Brighton,Joelinton,Newcastle,CM,0.29,MEDIUM
2026-05-02,Newcastle,Brighton,Jan Paul van Hecke,Brighton,CB,0.28,MEDIUM
2026-05-02,Wolves,Sunderland,Andre,Wolves,DM,0.4,HIGH
2026-05-02,Wolves,Sunderland,Joao Gomes,Wolves,CM,0.34,HIGH
2026-05-02,Wolves,Sunderland,Mosquera,Wolves,CB,0.34,HIGH
2026-05-02,Wolves,Sunderland,Luke O'Nien,Sunderland,CB,0.33,HIGH
2026-05-02,Wolves,Sunderland,Rayan Ait-Nouri,Wolves,FB,0.28,MEDIUM
