Referee,matches,avg_yellows,avg_reds,avg_total_cards,over_3_5_rate,over_4_5_rate,over_5_5_rate,home_yellows_avg,away_yellows_avg
M Donohue,5,5.6,0.0,5.6,0.8,0.6,0.6,2.6,3.0
S Singh,1,5.0,0.0,5.0,1.0,1.0,0.0,2.0,3.0
O Oliver,1,5.0,0.0,5.0,1.0,1.0,0.0,3.0,2.0
R Madley,2,4.5,0.5,5.0,0.5,0.5,0.5,2.0,2.5
S Allison,4,4.75,0.0,4.75,0.5,0.5,0.25,2.75,2.0
R Welch,2,4.0,0.5,4.5,0.5,0.5,0.5,2.5,1.5
J Brooks,72,4.361111111111111,0.125,4.486111111111111,0.6944444444444444,0.4861111111111111,0.2777777777777778,2.2777777777777777,2.0833333333333335
L Smith,10,4.1,0.3,4.4,0.6,0.5,0.2,2.1,2.0
T Robinson,48,4.208333333333333,0.0625,4.270833333333333,0.6458333333333334,0.3958333333333333,0.20833333333333334,1.8333333333333333,2.375
D Coote,84,4.095238095238095,0.13095238095238096,4.226190476190476,0.5595238095238095,0.38095238095238093,0.25,1.9761904761904763,2.119047619047619
D Bond,23,4.043478260869565,0.17391304347826086,4.217391304347826,0.6521739130434783,0.43478260869565216,0.2608695652173913,1.6956521739130435,2.347826086956522
J Smith,8,3.875,0.25,4.125,0.5,0.375,0.25,2.25,1.625
D England,96,3.9895833333333335,0.11458333333333333,4.104166666666667,0.5520833333333334,0.3958333333333333,0.23958333333333334,1.6875,2.3020833333333335
P Bankes,104,3.9615384615384617,0.125,4.086538461538462,0.5673076923076923,0.4230769230769231,0.22115384615384615,1.6923076923076923,2.269230769230769
T Bramall,50,3.88,0.18,4.06,0.6,0.42,0.24,1.68,2.2
A Moss,1,4.0,0.0,4.0,1.0,0.0,0.0,1.0,3.0
S Attwell,126,3.865079365079365,0.12698412698412698,3.992063492063492,0.5952380952380952,0.42063492063492064,0.23015873015873015,1.8174603174603174,2.0476190476190474
R Jones,107,3.878504672897196,0.102803738317757,3.9813084112149535,0.5887850467289719,0.38317757009345793,0.21495327102803738,1.6355140186915889,2.2429906542056073
M Salisbury,59,3.830508474576271,0.13559322033898305,3.9661016949152543,0.576271186440678,0.3898305084745763,0.1864406779661017,1.847457627118644,1.9830508474576272
S Barrott,59,3.8983050847457625,0.05084745762711865,3.9491525423728815,0.6101694915254238,0.3220338983050847,0.23728813559322035,1.7457627118644068,2.152542372881356
C Pawson,129,3.75968992248062,0.10852713178294573,3.868217054263566,0.5038759689922481,0.3178294573643411,0.23255813953488372,1.8294573643410852,1.930232558139535
S Hooper,119,3.7983193277310923,0.06722689075630252,3.865546218487395,0.5294117647058824,0.3277310924369748,0.21008403361344538,1.6638655462184875,2.134453781512605
P Tierney,112,3.705357142857143,0.125,3.830357142857143,0.5267857142857143,0.36607142857142855,0.17857142857142858,1.8125,1.8928571428571428
J Gillett,81,3.765432098765432,0.04938271604938271,3.814814814814815,0.5432098765432098,0.38271604938271603,0.24691358024691357,1.8888888888888888,1.876543209876543
A Taylor,170,3.588235294117647,0.13529411764705881,3.723529411764706,0.48823529411764705,0.3352941176470588,0.18235294117647058,1.7352941176470589,1.8529411764705883
C Kavanagh,123,3.5772357723577235,0.13821138211382114,3.7154471544715446,0.5040650406504065,0.34146341463414637,0.21951219512195122,1.6178861788617886,1.9593495934959348
T Harrington,48,3.5833333333333335,0.10416666666666667,3.6875,0.5208333333333334,0.3125,0.16666666666666666,1.6458333333333333,1.9375
T Kirk,5,3.0,0.6,3.6,0.4,0.4,0.4,1.4,1.6
M Dean,51,3.3529411764705883,0.1568627450980392,3.5098039215686274,0.5686274509803921,0.2549019607843137,0.11764705882352941,1.7647058823529411,1.588235294117647
D Webb,2,3.5,0.0,3.5,0.5,0.0,0.0,1.0,2.5
A Madley,118,3.3389830508474576,0.09322033898305085,3.4322033898305087,0.4152542372881356,0.288135593220339,0.1440677966101695,1.4406779661016949,1.8983050847457628
M Oliver,159,3.289308176100629,0.13836477987421383,3.4276729559748427,0.4716981132075472,0.24528301886792453,0.1320754716981132,1.5408805031446542,1.748427672955975
K Friend,43,3.13953488372093,0.11627906976744186,3.255813953488372,0.4186046511627907,0.27906976744186046,0.11627906976744186,1.813953488372093,1.3255813953488371
A Marriner,57,2.9298245614035086,0.08771929824561403,3.017543859649123,0.43859649122807015,0.19298245614035087,0.07017543859649122,1.4736842105263157,1.456140350877193
A Kitchen,5,3.0,0.0,3.0,0.4,0.0,0.0,1.8,1.2
K Kavanagh,1,3.0,0.0,3.0,0.0,0.0,0.0,1.0,2.0
F Hallam,4,3.0,0.0,3.0,0.25,0.0,0.0,1.25,1.75
G Scott,37,2.7027027027027026,0.1891891891891892,2.891891891891892,0.35135135135135137,0.21621621621621623,0.02702702702702703,1.4324324324324325,1.2702702702702702
J Moss,49,2.4081632653061225,0.12244897959183673,2.5306122448979593,0.30612244897959184,0.12244897959183673,0.061224489795918366,1.183673469387755,1.2244897959183674
M Atkinson,52,2.4038461538461537,0.07692307692307693,2.480769230769231,0.2692307692307692,0.07692307692307693,0.019230769230769232,1.2307692307692308,1.1730769230769231
J Gillett ,1,2.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0
L Mason,11,1.8181818181818181,0.0,1.8181818181818181,0.18181818181818182,0.18181818181818182,0.0,0.7272727272727273,1.0909090909090908
