predicted_cards_lte,total_cards_last5_lte,value_edge_gt,over_4_5_prob_lt,total_bets,minimum_40_bets,win_rate,roi,avg_edge,avg_profit,season_min_roi,referee_min_roi,league_min_roi,season_positive_roi_rate,referee_positive_roi_rate,league_positive_roi_rate,roi_stability_std,stability_score,roi_by_season,roi_by_referee,roi_by_league
2.5,3.0,0.12,0.3,23,NO,0.8695652173913043,0.11869565217391306,0.16334426304352706,0.11869565217391306,-0.038571428571428513,-0.5766666666666667,0.11869565217391306,0.6666666666666666,0.8333333333333334,1.0,0.08960861687940345,0.02908703529450961,2022:15 bets/17.3%; 2023:7 bets/-3.9%; 2025:1 bets/41.0%,A Madley:3 bets/-57.7%; A Taylor:4 bets/-5.5%; C Pawson:2 bets/34.5%; D England:1 bets/34.0%; G Scott:1 bets/25.0%; J Brooks:1 bets/41.0%; J Moss:2 bets/26.0%; K Friend:1 bets/26.0%; M Atkinson:2 bets/26.5%; M Oliver:3 bets/27.7%; P Bankes:1 bets/35.0%; R Jones:2 bets/25.0%,E0:23 bets/11.9%
2.5,3.0,0.12,0.35,23,NO,0.8695652173913043,0.11869565217391306,0.16334426304352706,0.11869565217391306,-0.038571428571428513,-0.5766666666666667,0.11869565217391306,0.6666666666666666,0.8333333333333334,1.0,0.08960861687940345,0.02908703529450961,2022:15 bets/17.3%; 2023:7 bets/-3.9%; 2025:1 bets/41.0%,A Madley:3 bets/-57.7%; A Taylor:4 bets/-5.5%; C Pawson:2 bets/34.5%; D England:1 bets/34.0%; G Scott:1 bets/25.0%; J Brooks:1 bets/41.0%; J Moss:2 bets/26.0%; K Friend:1 bets/26.0%; M Atkinson:2 bets/26.5%; M Oliver:3 bets/27.7%; P Bankes:1 bets/35.0%; R Jones:2 bets/25.0%,E0:23 bets/11.9%
2.5,3.0,0.12,0.4,23,NO,0.8695652173913043,0.11869565217391306,0.16334426304352706,0.11869565217391306,-0.038571428571428513,-0.5766666666666667,0.11869565217391306,0.6666666666666666,0.8333333333333334,1.0,0.08960861687940345,0.02908703529450961,2022:15 bets/17.3%; 2023:7 bets/-3.9%; 2025:1 bets/41.0%,A Madley:3 bets/-57.7%; A Taylor:4 bets/-5.5%; C Pawson:2 bets/34.5%; D England:1 bets/34.0%; G Scott:1 bets/25.0%; J Brooks:1 bets/41.0%; J Moss:2 bets/26.0%; K Friend:1 bets/26.0%; M Atkinson:2 bets/26.5%; M Oliver:3 bets/27.7%; P Bankes:1 bets/35.0%; R Jones:2 bets/25.0%,E0:23 bets/11.9%
2.7,3.0,0.05,0.3,42,YES,0.8571428571428571,0.11476190476190481,0.14546700359850082,0.11476190476190481,0.027692307692307717,-0.375,0.11476190476190481,1.0,0.8333333333333334,1.0,0.04754911414202238,0.06721279061988243,2022:25 bets/10.8%; 2023:13 bets/2.8%; 2024:1 bets/54.0%; 2025:2 bets/40.5%; 2026:1 bets/40.0%,A Madley:4 bets/-36.5%; A Taylor:5 bets/1.0%; C Kavanagh:1 bets/24.0%; C Pawson:2 bets/34.5%; D Coote:2 bets/-37.0%; D England:2 bets/37.0%; G Scott:2 bets/-37.5%; J Brooks:2 bets/38.0%; J Gillett:1 bets/32.0%; J Moss:2 bets/26.0%; K Friend:1 bets/26.0%; M Atkinson:2 bets/26.5%; M Oliver:7 bets/12.1%; P Bankes:1 bets/35.0%; P Tierney:1 bets/54.0%; R Jones:3 bets/25.7%; S Attwell:2 bets/30.0%; S Hooper:2 bets/27.5%,E0:42 bets/11.5%
2.7,3.0,0.05,0.35,42,YES,0.8571428571428571,0.11476190476190481,0.14546700359850082,0.11476190476190481,0.027692307692307717,-0.375,0.11476190476190481,1.0,0.8333333333333334,1.0,0.04754911414202238,0.06721279061988243,2022:25 bets/10.8%; 2023:13 bets/2.8%; 2024:1 bets/54.0%; 2025:2 bets/40.5%; 2026:1 bets/40.0%,A Madley:4 bets/-36.5%; A Taylor:5 bets/1.0%; C Kavanagh:1 bets/24.0%; C Pawson:2 bets/34.5%; D Coote:2 bets/-37.0%; D England:2 bets/37.0%; G Scott:2 bets/-37.5%; J Brooks:2 bets/38.0%; J Gillett:1 bets/32.0%; J Moss:2 bets/26.0%; K Friend:1 bets/26.0%; M Atkinson:2 bets/26.5%; M Oliver:7 bets/12.1%; P Bankes:1 bets/35.0%; P Tierney:1 bets/54.0%; R Jones:3 bets/25.7%; S Attwell:2 bets/30.0%; S Hooper:2 bets/27.5%,E0:42 bets/11.5%
2.7,3.0,0.05,0.4,42,YES,0.8571428571428571,0.11476190476190481,0.14546700359850082,0.11476190476190481,0.027692307692307717,-0.375,0.11476190476190481,1.0,0.8333333333333334,1.0,0.04754911414202238,0.06721279061988243,2022:25 bets/10.8%; 2023:13 bets/2.8%; 2024:1 bets/54.0%; 2025:2 bets/40.5%; 2026:1 bets/40.0%,A Madley:4 bets/-36.5%; A Taylor:5 bets/1.0%; C Kavanagh:1 bets/24.0%; C Pawson:2 bets/34.5%; D Coote:2 bets/-37.0%; D England:2 bets/37.0%; G Scott:2 bets/-37.5%; J Brooks:2 bets/38.0%; J Gillett:1 bets/32.0%; J Moss:2 bets/26.0%; K Friend:1 bets/26.0%; M Atkinson:2 bets/26.5%; M Oliver:7 bets/12.1%; P Bankes:1 bets/35.0%; P Tierney:1 bets/54.0%; R Jones:3 bets/25.7%; S Attwell:2 bets/30.0%; S Hooper:2 bets/27.5%,E0:42 bets/11.5%
2.7,3.5,0.12,0.3,48,YES,0.8541666666666666,0.10479166666666669,0.1601028084047332,0.10479166666666669,-0.02499999999999996,-0.37,0.10479166666666669,0.75,0.7894736842105263,1.0,0.21150293500863437,-0.10671126834196769,2022:28 bets/16.7%; 2023:18 bets/-2.5%; 2025:1 bets/41.0%; 2026:1 bets/40.0%,A Madley:6 bets/-15.7%; A Taylor:6 bets/-37.0%; C Kavanagh:2 bets/32.0%; C Pawson:2 bets/34.5%; D Coote:2 bets/-37.0%; D England:2 bets/37.0%; G Scott:1 bets/25.0%; J Brooks:2 bets/38.0%; J Gillett:1 bets/32.0%; J Moss:2 bets/26.0%; K Friend:1 bets/26.0%; M Atkinson:4 bets/25.2%; M Oliver:4 bets/-4.2%; M Salisbury:1 bets/32.0%; P Bankes:2 bets/35.5%; P Tierney:2 bets/35.5%; R Jones:5 bets/26.0%; S Attwell:2 bets/30.0%; S Hooper:1 bets/27.0%,E0:48 bets/10.5%
2.7,3.5,0.12,0.35,48,YES,0.8541666666666666,0.10479166666666669,0.1601028084047332,0.10479166666666669,-0.02499999999999996,-0.37,0.10479166666666669,0.75,0.7894736842105263,1.0,0.21150293500863437,-0.10671126834196769,2022:28 bets/16.7%; 2023:18 bets/-2.5%; 2025:1 bets/41.0%; 2026:1 bets/40.0%,A Madley:6 bets/-15.7%; A Taylor:6 bets/-37.0%; C Kavanagh:2 bets/32.0%; C Pawson:2 bets/34.5%; D Coote:2 bets/-37.0%; D England:2 bets/37.0%; G Scott:1 bets/25.0%; J Brooks:2 bets/38.0%; J Gillett:1 bets/32.0%; J Moss:2 bets/26.0%; K Friend:1 bets/26.0%; M Atkinson:4 bets/25.2%; M Oliver:4 bets/-4.2%; M Salisbury:1 bets/32.0%; P Bankes:2 bets/35.5%; P Tierney:2 bets/35.5%; R Jones:5 bets/26.0%; S Attwell:2 bets/30.0%; S Hooper:1 bets/27.0%,E0:48 bets/10.5%
2.7,3.5,0.12,0.4,48,YES,0.8541666666666666,0.10479166666666669,0.1601028084047332,0.10479166666666669,-0.02499999999999996,-0.37,0.10479166666666669,0.75,0.7894736842105263,1.0,0.21150293500863437,-0.10671126834196769,2022:28 bets/16.7%; 2023:18 bets/-2.5%; 2025:1 bets/41.0%; 2026:1 bets/40.0%,A Madley:6 bets/-15.7%; A Taylor:6 bets/-37.0%; C Kavanagh:2 bets/32.0%; C Pawson:2 bets/34.5%; D Coote:2 bets/-37.0%; D England:2 bets/37.0%; G Scott:1 bets/25.0%; J Brooks:2 bets/38.0%; J Gillett:1 bets/32.0%; J Moss:2 bets/26.0%; K Friend:1 bets/26.0%; M Atkinson:4 bets/25.2%; M Oliver:4 bets/-4.2%; M Salisbury:1 bets/32.0%; P Bankes:2 bets/35.5%; P Tierney:2 bets/35.5%; R Jones:5 bets/26.0%; S Attwell:2 bets/30.0%; S Hooper:1 bets/27.0%,E0:48 bets/10.5%
2.5,3.0,0.05,0.3,28,NO,0.8571428571428571,0.10357142857142858,0.15086956010842917,0.10357142857142858,0.038888888888888945,-0.5766666666666667,0.10357142857142858,1.0,0.8461538461538461,1.0,0.09752063176866389,0.006050796802764685,2022:18 bets/11.9%; 2023:9 bets/3.9%; 2025:1 bets/41.0%,A Madley:3 bets/-57.7%; A Taylor:5 bets/1.0%; C Pawson:2 bets/34.5%; D England:1 bets/34.0%; G Scott:2 bets/-37.5%; J Brooks:1 bets/41.0%; J Moss:2 bets/26.0%; K Friend:1 bets/26.0%; M Atkinson:2 bets/26.5%; M Oliver:5 bets/29.0%; P Bankes:1 bets/35.0%; R Jones:2 bets/25.0%; S Hooper:1 bets/28.0%,E0:28 bets/10.4%
